Disease,Gene,Drug,SMILES,SideEffect,TargetClass,Pathway,ApprovedForDisease
Breast Cancer,Gene35,Tamoxifen,SMILES49,SideEffect46,TargetClass6,Pathway8,1
Type 2 Diabetes,Gene23,Glipizide,SMILES450,SideEffect27,TargetClass10,Pathway2,1
Depression,Gene64,Sertraline,SMILES492,SideEffect45,TargetClass13,Pathway1,1
Alzheimer's disease,Gene26,Memantine,SMILES36,SideEffect35,TargetClass17,Pathway10,1
COVID-19,Gene98,Molnupiravir,SMILES314,SideEffect4,TargetClass3,Pathway7,1
Type 2 Diabetes,Gene61,Metformin,SMILES484,SideEffect16,TargetClass15,Pathway2,1
Depression,Gene19,Fluoxetine,SMILES459,SideEffect4,TargetClass10,Pathway11,1
Breast Cancer,Gene55,Tamoxifen,SMILES381,SideEffect49,TargetClass6,Pathway1,1
Type 2 Diabetes,Gene96,Glipizide,SMILES66,SideEffect9,TargetClass6,Pathway13,1
Lung Cancer,Gene93,Erlotinib,SMILES244,SideEffect38,TargetClass1,Pathway7,1
Breast Cancer,Gene18,Trastuzumab,SMILES158,SideEffect24,TargetClass6,Pathway2,1
Depression,Gene25,Sertraline,SMILES99,SideEffect13,TargetClass14,Pathway7,1
COVID-19,Gene89,Metformin,SMILES393,SideEffect41,TargetClass16,Pathway12,0
Parkinson's disease,Gene30,Levodopa,SMILES394,SideEffect37,TargetClass3,Pathway13,1
Breast Cancer,Gene17,Fluoxetine,SMILES93,SideEffect8,TargetClass15,Pathway11,0
COVID-19,Gene94,Glipizide,SMILES161,SideEffect16,TargetClass17,Pathway9,0
Alzheimer's disease,Gene76,Memantine,SMILES443,SideEffect22,TargetClass14,Pathway14,1
Breast Cancer,Gene72,Trastuzumab,SMILES298,SideEffect26,TargetClass16,Pathway3,1
Lung Cancer,Gene26,Gefitinib,SMILES341,SideEffect44,TargetClass5,Pathway7,1
Breast Cancer,Gene46,Trastuzumab,SMILES106,SideEffect32,TargetClass4,Pathway10,1
Breast Cancer,Gene91,Tamoxifen,SMILES100,SideEffect32,TargetClass1,Pathway9,1
Depression,Gene46,Sertraline,SMILES228,SideEffect9,TargetClass2,Pathway2,1
Lung Cancer,Gene63,Levodopa,SMILES225,SideEffect46,TargetClass5,Pathway11,0
Depression,Gene84,Sertraline,SMILES288,SideEffect6,TargetClass16,Pathway1,1
Lung Cancer,Gene58,Erlotinib,SMILES447,SideEffect27,TargetClass8,Pathway7,1
Breast Cancer,Gene1,Trastuzumab,SMILES121,SideEffect25,TargetClass17,Pathway1,1
Type 2 Diabetes,Gene9,Glipizide,SMILES18,SideEffect15,TargetClass15,Pathway11,1
Parkinson's disease,Gene8,Carbidopa,SMILES196,SideEffect5,TargetClass7,Pathway7,1
Parkinson's disease,Gene17,Carbidopa,SMILES389,SideEffect26,TargetClass4,Pathway8,1
COVID-19,Gene26,Remdesivir,SMILES361,SideEffect27,TargetClass11,Pathway4,1
Lung Cancer,Gene62,Gefitinib,SMILES453,SideEffect12,TargetClass16,Pathway10,1
Depression,Gene13,Fluoxetine,SMILES384,SideEffect5,TargetClass15,Pathway7,1
Type 2 Diabetes,Gene11,Glipizide,SMILES134,SideEffect18,TargetClass15,Pathway3,1
COVID-19,Gene97,Molnupiravir,SMILES372,SideEffect29,TargetClass15,Pathway5,1
Depression,Gene84,Fluoxetine,SMILES381,SideEffect16,TargetClass2,Pathway2,1
Type 2 Diabetes,Gene72,Glipizide,SMILES433,SideEffect15,TargetClass17,Pathway12,1
Breast Cancer,Gene51,Trastuzumab,SMILES302,SideEffect20,TargetClass6,Pathway13,1
Lung Cancer,Gene64,Erlotinib,SMILES10,SideEffect3,TargetClass11,Pathway6,1
Lung Cancer,Gene95,Gefitinib,SMILES311,SideEffect48,TargetClass18,Pathway7,1
COVID-19,Gene63,Molnupiravir,SMILES485,SideEffect49,TargetClass3,Pathway5,1
COVID-19,Gene7,Remdesivir,SMILES306,SideEffect46,TargetClass8,Pathway10,1
COVID-19,Gene50,Molnupiravir,SMILES95,SideEffect21,TargetClass13,Pathway7,1
Breast Cancer,Gene84,Tamoxifen,SMILES217,SideEffect19,TargetClass18,Pathway5,1
Depression,Gene70,Sertraline,SMILES419,SideEffect16,TargetClass13,Pathway12,1
Breast Cancer,Gene18,Trastuzumab,SMILES232,SideEffect30,TargetClass10,Pathway3,1
Depression,Gene56,Metformin,SMILES431,SideEffect26,TargetClass7,Pathway10,0
Parkinson's disease,Gene21,Carbidopa,SMILES405,SideEffect48,TargetClass17,Pathway10,1
COVID-19,Gene28,Molnupiravir,SMILES173,SideEffect43,TargetClass9,Pathway9,1
Lung Cancer,Gene13,Gefitinib,SMILES337,SideEffect21,TargetClass1,Pathway2,1
Parkinson's disease,Gene54,Levodopa,SMILES450,SideEffect49,TargetClass16,Pathway2,1
Parkinson's disease,Gene71,Carbidopa,SMILES255,SideEffect11,TargetClass7,Pathway11,1
COVID-19,Gene80,Remdesivir,SMILES8,SideEffect47,TargetClass17,Pathway1,1
COVID-19,Gene62,Molnupiravir,SMILES94,SideEffect21,TargetClass19,Pathway9,1
Lung Cancer,Gene97,Erlotinib,SMILES372,SideEffect41,TargetClass14,Pathway2,1
Lung Cancer,Gene10,Gefitinib,SMILES154,SideEffect26,TargetClass12,Pathway12,1
Alzheimer's disease,Gene57,Erlotinib,SMILES246,SideEffect41,TargetClass7,Pathway4,0
Lung Cancer,Gene93,Gefitinib,SMILES143,SideEffect41,TargetClass1,Pathway1,1
Type 2 Diabetes,Gene76,Metformin,SMILES380,SideEffect22,TargetClass16,Pathway2,1
Type 2 Diabetes,Gene29,Metformin,SMILES36,SideEffect4,TargetClass15,Pathway11,1
Alzheimer's disease,Gene91,Memantine,SMILES227,SideEffect16,TargetClass2,Pathway1,1
Type 2 Diabetes,Gene48,Glipizide,SMILES52,SideEffect38,TargetClass9,Pathway7,1
Depression,Gene94,Sertraline,SMILES267,SideEffect3,TargetClass8,Pathway8,1
Lung Cancer,Gene75,Erlotinib,SMILES32,SideEffect37,TargetClass15,Pathway4,1
Type 2 Diabetes,Gene68,Metformin,SMILES123,SideEffect33,TargetClass15,Pathway1,1
COVID-19,Gene77,Remdesivir,SMILES98,SideEffect41,TargetClass5,Pathway1,1
Parkinson's disease,Gene86,Carbidopa,SMILES293,SideEffect47,TargetClass12,Pathway1,1
Breast Cancer,Gene1,Tamoxifen,SMILES184,SideEffect23,TargetClass13,Pathway11,1
Depression,Gene67,Fluoxetine,SMILES388,SideEffect44,TargetClass15,Pathway4,1
Type 2 Diabetes,Gene24,Gefitinib,SMILES460,SideEffect21,TargetClass10,Pathway4,0
Breast Cancer,Gene18,Trastuzumab,SMILES449,SideEffect23,TargetClass7,Pathway1,1
Parkinson's disease,Gene5,Carbidopa,SMILES244,SideEffect25,TargetClass6,Pathway6,1
Breast Cancer,Gene3,Trastuzumab,SMILES373,SideEffect35,TargetClass1,Pathway8,1
Alzheimer's disease,Gene91,Donepezil,SMILES445,SideEffect41,TargetClass6,Pathway13,1
COVID-19,Gene92,Molnupiravir,SMILES46,SideEffect26,TargetClass14,Pathway3,1
Alzheimer's disease,Gene30,Donepezil,SMILES493,SideEffect47,TargetClass17,Pathway4,1
Lung Cancer,Gene72,Gefitinib,SMILES276,SideEffect34,TargetClass15,Pathway10,1
Breast Cancer,Gene79,Tamoxifen,SMILES468,SideEffect41,TargetClass12,Pathway5,1
Parkinson's disease,Gene83,Carbidopa,SMILES181,SideEffect36,TargetClass19,Pathway10,1
Breast Cancer,Gene38,Trastuzumab,SMILES420,SideEffect41,TargetClass15,Pathway2,1
Type 2 Diabetes,Gene4,Metformin,SMILES284,SideEffect8,TargetClass3,Pathway2,1
Alzheimer's disease,Gene70,Memantine,SMILES404,SideEffect5,TargetClass9,Pathway10,1
Parkinson's disease,Gene28,Memantine,SMILES318,SideEffect19,TargetClass11,Pathway1,0
Alzheimer's disease,Gene52,Fluoxetine,SMILES175,SideEffect20,TargetClass1,Pathway4,0
Alzheimer's disease,Gene67,Donepezil,SMILES332,SideEffect40,TargetClass14,Pathway6,1
COVID-19,Gene90,Glipizide,SMILES108,SideEffect38,TargetClass11,Pathway4,0
Breast Cancer,Gene10,Trastuzumab,SMILES204,SideEffect46,TargetClass18,Pathway3,1
Depression,Gene74,Fluoxetine,SMILES319,SideEffect7,TargetClass14,Pathway9,1
Parkinson's disease,Gene52,Carbidopa,SMILES212,SideEffect41,TargetClass16,Pathway11,1
Type 2 Diabetes,Gene94,Glipizide,SMILES161,SideEffect36,TargetClass18,Pathway5,1
Depression,Gene52,Sertraline,SMILES192,SideEffect39,TargetClass17,Pathway13,1
Alzheimer's disease,Gene38,Memantine,SMILES386,SideEffect16,TargetClass5,Pathway12,1
COVID-19,Gene1,Molnupiravir,SMILES75,SideEffect33,TargetClass12,Pathway8,1
Alzheimer's disease,Gene56,Gefitinib,SMILES401,SideEffect10,TargetClass17,Pathway12,0
Alzheimer's disease,Gene19,Donepezil,SMILES489,SideEffect31,TargetClass17,Pathway7,1
Alzheimer's disease,Gene25,Donepezil,SMILES89,SideEffect49,TargetClass9,Pathway7,1
Depression,Gene50,Sertraline,SMILES164,SideEffect28,TargetClass5,Pathway5,1
Breast Cancer,Gene40,Levodopa,SMILES496,SideEffect21,TargetClass15,Pathway3,0
COVID-19,Gene78,Remdesivir,SMILES189,SideEffect16,TargetClass17,Pathway12,1
Breast Cancer,Gene45,Tamoxifen,SMILES77,SideEffect26,TargetClass12,Pathway6,1
Type 2 Diabetes,Gene97,Molnupiravir,SMILES454,SideEffect42,TargetClass10,Pathway10,0
Parkinson's disease,Gene7,Carbidopa,SMILES174,SideEffect23,TargetClass19,Pathway14,1
Lung Cancer,Gene42,Donepezil,SMILES356,SideEffect27,TargetClass6,Pathway12,0
Breast Cancer,Gene1,Trastuzumab,SMILES492,SideEffect3,TargetClass16,Pathway3,1
Parkinson's disease,Gene77,Carbidopa,SMILES482,SideEffect32,TargetClass14,Pathway13,1
Type 2 Diabetes,Gene92,Donepezil,SMILES36,SideEffect13,TargetClass19,Pathway13,0
Lung Cancer,Gene66,Erlotinib,SMILES158,SideEffect40,TargetClass3,Pathway7,1
Breast Cancer,Gene8,Tamoxifen,SMILES59,SideEffect1,TargetClass17,Pathway12,1
COVID-19,Gene70,Trastuzumab,SMILES262,SideEffect12,TargetClass2,Pathway9,0
Depression,Gene54,Donepezil,SMILES12,SideEffect1,TargetClass10,Pathway3,0
Alzheimer's disease,Gene73,Donepezil,SMILES201,SideEffect40,TargetClass17,Pathway1,1
Parkinson's disease,Gene33,Levodopa,SMILES362,SideEffect30,TargetClass10,Pathway14,1
Alzheimer's disease,Gene35,Memantine,SMILES144,SideEffect5,TargetClass13,Pathway5,1
COVID-19,Gene34,Molnupiravir,SMILES168,SideEffect24,TargetClass17,Pathway1,1
COVID-19,Gene61,Molnupiravir,SMILES32,SideEffect11,TargetClass18,Pathway13,1
Depression,Gene72,Sertraline,SMILES291,SideEffect49,TargetClass11,Pathway3,1
Alzheimer's disease,Gene81,Memantine,SMILES293,SideEffect38,TargetClass17,Pathway10,1
Parkinson's disease,Gene25,Sertraline,SMILES316,SideEffect11,TargetClass14,Pathway2,0
Lung Cancer,Gene66,Erlotinib,SMILES10,SideEffect49,TargetClass11,Pathway14,1
Alzheimer's disease,Gene83,Tamoxifen,SMILES330,SideEffect4,TargetClass13,Pathway13,0
COVID-19,Gene56,Remdesivir,SMILES63,SideEffect41,TargetClass8,Pathway11,1
Type 2 Diabetes,Gene75,Metformin,SMILES413,SideEffect36,TargetClass4,Pathway10,1
Breast Cancer,Gene9,Trastuzumab,SMILES465,SideEffect11,TargetClass10,Pathway6,1
Type 2 Diabetes,Gene1,Metformin,SMILES49,SideEffect36,TargetClass5,Pathway4,1
Parkinson's disease,Gene67,Levodopa,SMILES250,SideEffect18,TargetClass19,Pathway14,1
Breast Cancer,Gene99,Trastuzumab,SMILES487,SideEffect18,TargetClass12,Pathway11,1
Breast Cancer,Gene30,Tamoxifen,SMILES276,SideEffect15,TargetClass17,Pathway3,1
COVID-19,Gene59,Trastuzumab,SMILES331,SideEffect29,TargetClass19,Pathway1,0
Type 2 Diabetes,Gene43,Tamoxifen,SMILES122,SideEffect1,TargetClass9,Pathway11,0
COVID-19,Gene36,Fluoxetine,SMILES45,SideEffect16,TargetClass11,Pathway3,0
Alzheimer's disease,Gene43,Donepezil,SMILES146,SideEffect10,TargetClass9,Pathway7,1
Alzheimer's disease,Gene49,Remdesivir,SMILES425,SideEffect6,TargetClass12,Pathway12,0
Type 2 Diabetes,Gene79,Metformin,SMILES26,SideEffect38,TargetClass14,Pathway6,1
Type 2 Diabetes,Gene60,Glipizide,SMILES70,SideEffect16,TargetClass2,Pathway7,1
Parkinson's disease,Gene85,Carbidopa,SMILES167,SideEffect49,TargetClass18,Pathway7,1
Parkinson's disease,Gene25,Glipizide,SMILES359,SideEffect20,TargetClass5,Pathway1,0
Parkinson's disease,Gene59,Molnupiravir,SMILES489,SideEffect29,TargetClass14,Pathway6,0
Parkinson's disease,Gene64,Carbidopa,SMILES125,SideEffect44,TargetClass8,Pathway12,1
Depression,Gene76,Fluoxetine,SMILES41,SideEffect45,TargetClass11,Pathway12,1
Breast Cancer,Gene49,Tamoxifen,SMILES227,SideEffect41,TargetClass5,Pathway6,1
COVID-19,Gene31,Remdesivir,SMILES257,SideEffect11,TargetClass6,Pathway7,1
Breast Cancer,Gene95,Trastuzumab,SMILES232,SideEffect13,TargetClass8,Pathway8,1
Alzheimer's disease,Gene34,Donepezil,SMILES461,SideEffect14,TargetClass17,Pathway2,1
Lung Cancer,Gene99,Erlotinib,SMILES309,SideEffect35,TargetClass11,Pathway4,1
Depression,Gene66,Erlotinib,SMILES395,SideEffect24,TargetClass18,Pathway8,0
COVID-19,Gene48,Remdesivir,SMILES19,SideEffect47,TargetClass3,Pathway9,1
Depression,Gene45,Fluoxetine,SMILES251,SideEffect49,TargetClass17,Pathway2,1
Lung Cancer,Gene80,Gefitinib,SMILES310,SideEffect35,TargetClass1,Pathway5,1
COVID-19,Gene11,Remdesivir,SMILES456,SideEffect29,TargetClass10,Pathway2,1
Alzheimer's disease,Gene76,Donepezil,SMILES254,SideEffect37,TargetClass17,Pathway3,1
Alzheimer's disease,Gene63,Memantine,SMILES124,SideEffect6,TargetClass3,Pathway6,1
Parkinson's disease,Gene27,Trastuzumab,SMILES457,SideEffect40,TargetClass7,Pathway1,0
Lung Cancer,Gene16,Erlotinib,SMILES168,SideEffect21,TargetClass5,Pathway8,1
Lung Cancer,Gene45,Gefitinib,SMILES47,SideEffect4,TargetClass17,Pathway12,1
Alzheimer's disease,Gene43,Donepezil,SMILES262,SideEffect17,TargetClass4,Pathway14,1
Lung Cancer,Gene11,Erlotinib,SMILES44,SideEffect22,TargetClass9,Pathway5,1
Lung Cancer,Gene33,Glipizide,SMILES390,SideEffect25,TargetClass5,Pathway10,0
Alzheimer's disease,Gene3,Memantine,SMILES468,SideEffect43,TargetClass19,Pathway1,1
Parkinson's disease,Gene14,Levodopa,SMILES307,SideEffect11,TargetClass14,Pathway10,1
Alzheimer's disease,Gene64,Memantine,SMILES335,SideEffect26,TargetClass10,Pathway12,1
Alzheimer's disease,Gene60,Memantine,SMILES448,SideEffect24,TargetClass13,Pathway3,1
Type 2 Diabetes,Gene63,Glipizide,SMILES443,SideEffect18,TargetClass1,Pathway3,1
COVID-19,Gene59,Metformin,SMILES235,SideEffect6,TargetClass12,Pathway11,0
Parkinson's disease,Gene52,Carbidopa,SMILES182,SideEffect3,TargetClass5,Pathway12,1
Type 2 Diabetes,Gene40,Metformin,SMILES414,SideEffect5,TargetClass12,Pathway7,1
Breast Cancer,Gene28,Tamoxifen,SMILES114,SideEffect15,TargetClass19,Pathway12,1
Parkinson's disease,Gene22,Erlotinib,SMILES146,SideEffect12,TargetClass10,Pathway11,0
Breast Cancer,Gene29,Tamoxifen,SMILES179,SideEffect4,TargetClass7,Pathway12,1
Parkinson's disease,Gene36,Carbidopa,SMILES236,SideEffect12,TargetClass4,Pathway3,1
COVID-19,Gene21,Molnupiravir,SMILES258,SideEffect26,TargetClass10,Pathway7,1
Breast Cancer,Gene73,Trastuzumab,SMILES233,SideEffect36,TargetClass14,Pathway2,1
Alzheimer's disease,Gene15,Memantine,SMILES275,SideEffect15,TargetClass7,Pathway3,1
Lung Cancer,Gene68,Erlotinib,SMILES393,SideEffect17,TargetClass17,Pathway4,1
Breast Cancer,Gene79,Tamoxifen,SMILES15,SideEffect48,TargetClass3,Pathway9,1
Depression,Gene79,Fluoxetine,SMILES437,SideEffect20,TargetClass18,Pathway9,1
COVID-19,Gene14,Molnupiravir,SMILES334,SideEffect2,TargetClass5,Pathway5,1
Type 2 Diabetes,Gene86,Glipizide,SMILES425,SideEffect16,TargetClass17,Pathway14,1
Breast Cancer,Gene12,Trastuzumab,SMILES376,SideEffect44,TargetClass14,Pathway11,1
Alzheimer's disease,Gene17,Donepezil,SMILES86,SideEffect5,TargetClass6,Pathway5,1
Alzheimer's disease,Gene18,Memantine,SMILES175,SideEffect31,TargetClass3,Pathway7,1
COVID-19,Gene12,Remdesivir,SMILES101,SideEffect28,TargetClass7,Pathway8,1
Depression,Gene29,Donepezil,SMILES325,SideEffect6,TargetClass16,Pathway9,0
Parkinson's disease,Gene40,Fluoxetine,SMILES72,SideEffect40,TargetClass12,Pathway8,0
Alzheimer's disease,Gene76,Memantine,SMILES213,SideEffect40,TargetClass19,Pathway3,1
Depression,Gene90,Sertraline,SMILES405,SideEffect18,TargetClass15,Pathway6,1
Alzheimer's disease,Gene23,Memantine,SMILES197,SideEffect49,TargetClass18,Pathway5,1
Breast Cancer,Gene52,Trastuzumab,SMILES270,SideEffect20,TargetClass11,Pathway5,1
Type 2 Diabetes,Gene30,Metformin,SMILES63,SideEffect24,TargetClass12,Pathway14,1
Depression,Gene86,Fluoxetine,SMILES253,SideEffect39,TargetClass10,Pathway9,1
Breast Cancer,Gene68,Trastuzumab,SMILES435,SideEffect25,TargetClass1,Pathway14,1
Type 2 Diabetes,Gene76,Metformin,SMILES182,SideEffect28,TargetClass15,Pathway3,1
Alzheimer's disease,Gene11,Memantine,SMILES191,SideEffect21,TargetClass4,Pathway2,1
Breast Cancer,Gene24,Tamoxifen,SMILES467,SideEffect29,TargetClass13,Pathway7,1
Lung Cancer,Gene6,Gefitinib,SMILES343,SideEffect8,TargetClass4,Pathway4,1
Depression,Gene86,Sertraline,SMILES315,SideEffect28,TargetClass19,Pathway11,1
Depression,Gene74,Trastuzumab,SMILES168,SideEffect38,TargetClass14,Pathway1,0
Lung Cancer,Gene50,Glipizide,SMILES379,SideEffect42,TargetClass10,Pathway10,0
Parkinson's disease,Gene98,Remdesivir,SMILES326,SideEffect35,TargetClass3,Pathway1,0
Parkinson's disease,Gene25,Carbidopa,SMILES480,SideEffect17,TargetClass17,Pathway5,1
Parkinson's disease,Gene4,Levodopa,SMILES87,SideEffect46,TargetClass19,Pathway10,1
Parkinson's disease,Gene93,Carbidopa,SMILES50,SideEffect26,TargetClass8,Pathway2,1
Parkinson's disease,Gene75,Levodopa,SMILES436,SideEffect8,TargetClass4,Pathway11,1
Type 2 Diabetes,Gene53,Glipizide,SMILES430,SideEffect2,TargetClass6,Pathway1,1
Breast Cancer,Gene32,Tamoxifen,SMILES154,SideEffect22,TargetClass13,Pathway13,1
Breast Cancer,Gene98,Trastuzumab,SMILES116,SideEffect5,TargetClass8,Pathway13,1
Type 2 Diabetes,Gene23,Metformin,SMILES99,SideEffect29,TargetClass16,Pathway13,1
Alzheimer's disease,Gene60,Donepezil,SMILES193,SideEffect7,TargetClass13,Pathway14,1
Lung Cancer,Gene97,Erlotinib,SMILES149,SideEffect35,TargetClass19,Pathway4,1
Breast Cancer,Gene8,Tamoxifen,SMILES94,SideEffect14,TargetClass1,Pathway10,1
Breast Cancer,Gene90,Tamoxifen,SMILES229,SideEffect22,TargetClass19,Pathway10,1
Breast Cancer,Gene13,Trastuzumab,SMILES394,SideEffect49,TargetClass6,Pathway4,1
Parkinson's disease,Gene94,Levodopa,SMILES428,SideEffect48,TargetClass16,Pathway11,1
Type 2 Diabetes,Gene70,Glipizide,SMILES426,SideEffect33,TargetClass1,Pathway9,1
COVID-19,Gene27,Molnupiravir,SMILES37,SideEffect46,TargetClass17,Pathway3,1
Alzheimer's disease,Gene92,Memantine,SMILES294,SideEffect33,TargetClass10,Pathway13,1
Parkinson's disease,Gene52,Carbidopa,SMILES287,SideEffect8,TargetClass17,Pathway14,1
Parkinson's disease,Gene69,Carbidopa,SMILES408,SideEffect49,TargetClass7,Pathway7,1
Depression,Gene13,Sertraline,SMILES370,SideEffect42,TargetClass19,Pathway1,1
Depression,Gene44,Sertraline,SMILES346,SideEffect25,TargetClass4,Pathway12,1
Alzheimer's disease,Gene50,Memantine,SMILES124,SideEffect11,TargetClass14,Pathway13,1
COVID-19,Gene83,Remdesivir,SMILES109,SideEffect24,TargetClass3,Pathway9,1
Depression,Gene34,Fluoxetine,SMILES245,SideEffect22,TargetClass19,Pathway4,1
Lung Cancer,Gene24,Erlotinib,SMILES447,SideEffect19,TargetClass1,Pathway11,1
Lung Cancer,Gene26,Gefitinib,SMILES251,SideEffect23,TargetClass17,Pathway14,1
Depression,Gene58,Tamoxifen,SMILES366,SideEffect46,TargetClass18,Pathway10,0
Breast Cancer,Gene91,Trastuzumab,SMILES146,SideEffect42,TargetClass9,Pathway6,1
Lung Cancer,Gene32,Gefitinib,SMILES305,SideEffect13,TargetClass16,Pathway10,1
Lung Cancer,Gene9,Gefitinib,SMILES253,SideEffect44,TargetClass11,Pathway5,1
Alzheimer's disease,Gene99,Memantine,SMILES346,SideEffect3,TargetClass2,Pathway5,1
Breast Cancer,Gene26,Molnupiravir,SMILES341,SideEffect9,TargetClass17,Pathway5,0
Parkinson's disease,Gene51,Levodopa,SMILES12,SideEffect48,TargetClass5,Pathway2,1
Depression,Gene25,Sertraline,SMILES326,SideEffect36,TargetClass2,Pathway6,1
Breast Cancer,Gene33,Tamoxifen,SMILES115,SideEffect29,TargetClass12,Pathway3,1
Breast Cancer,Gene35,Tamoxifen,SMILES479,SideEffect35,TargetClass5,Pathway1,1
Parkinson's disease,Gene85,Levodopa,SMILES216,SideEffect42,TargetClass8,Pathway2,1
Depression,Gene60,Sertraline,SMILES438,SideEffect15,TargetClass17,Pathway1,1
Depression,Gene1,Sertraline,SMILES214,SideEffect13,TargetClass6,Pathway1,1
Depression,Gene23,Fluoxetine,SMILES188,SideEffect8,TargetClass17,Pathway10,1
Type 2 Diabetes,Gene69,Remdesivir,SMILES479,SideEffect29,TargetClass6,Pathway4,0
Parkinson's disease,Gene4,Levodopa,SMILES223,SideEffect30,TargetClass5,Pathway7,1
Breast Cancer,Gene2,Tamoxifen,SMILES447,SideEffect29,TargetClass9,Pathway10,1
Type 2 Diabetes,Gene83,Metformin,SMILES46,SideEffect25,TargetClass14,Pathway1,1
Lung Cancer,Gene73,Erlotinib,SMILES449,SideEffect11,TargetClass3,Pathway4,1
Depression,Gene55,Sertraline,SMILES481,SideEffect44,TargetClass18,Pathway12,1
Lung Cancer,Gene15,Gefitinib,SMILES204,SideEffect48,TargetClass6,Pathway12,1
Alzheimer's disease,Gene34,Donepezil,SMILES418,SideEffect24,TargetClass2,Pathway8,1
Alzheimer's disease,Gene92,Donepezil,SMILES28,SideEffect8,TargetClass14,Pathway6,1
Depression,Gene17,Sertraline,SMILES325,SideEffect44,TargetClass11,Pathway14,1
Depression,Gene72,Fluoxetine,SMILES264,SideEffect7,TargetClass19,Pathway13,1
Type 2 Diabetes,Gene65,Sertraline,SMILES68,SideEffect46,TargetClass17,Pathway4,0
Breast Cancer,Gene24,Tamoxifen,SMILES275,SideEffect46,TargetClass17,Pathway12,1
Depression,Gene2,Sertraline,SMILES273,SideEffect31,TargetClass16,Pathway8,1
Alzheimer's disease,Gene27,Memantine,SMILES304,SideEffect30,TargetClass7,Pathway11,1
COVID-19,Gene14,Remdesivir,SMILES387,SideEffect30,TargetClass1,Pathway14,1
Lung Cancer,Gene14,Gefitinib,SMILES145,SideEffect13,TargetClass13,Pathway9,1
Lung Cancer,Gene59,Gefitinib,SMILES324,SideEffect21,TargetClass5,Pathway7,1
COVID-19,Gene36,Molnupiravir,SMILES156,SideEffect1,TargetClass8,Pathway5,1
Lung Cancer,Gene13,Erlotinib,SMILES375,SideEffect22,TargetClass9,Pathway10,1
Lung Cancer,Gene96,Gefitinib,SMILES201,SideEffect5,TargetClass5,Pathway10,1
COVID-19,Gene63,Remdesivir,SMILES335,SideEffect39,TargetClass8,Pathway10,1
COVID-19,Gene76,Remdesivir,SMILES289,SideEffect36,TargetClass14,Pathway1,1
Depression,Gene34,Sertraline,SMILES180,SideEffect10,TargetClass6,Pathway4,1
Depression,Gene39,Sertraline,SMILES451,SideEffect8,TargetClass14,Pathway8,1
Type 2 Diabetes,Gene88,Glipizide,SMILES79,SideEffect49,TargetClass6,Pathway10,1
Parkinson's disease,Gene36,Levodopa,SMILES402,SideEffect37,TargetClass1,Pathway1,1
Alzheimer's disease,Gene23,Memantine,SMILES456,SideEffect9,TargetClass14,Pathway7,1
Type 2 Diabetes,Gene96,Glipizide,SMILES62,SideEffect43,TargetClass6,Pathway4,1
Type 2 Diabetes,Gene91,Glipizide,SMILES289,SideEffect26,TargetClass4,Pathway1,1
Type 2 Diabetes,Gene93,Glipizide,SMILES175,SideEffect12,TargetClass5,Pathway14,1
Parkinson's disease,Gene44,Levodopa,SMILES490,SideEffect25,TargetClass1,Pathway3,1
Type 2 Diabetes,Gene29,Glipizide,SMILES217,SideEffect23,TargetClass3,Pathway14,1
Type 2 Diabetes,Gene90,Metformin,SMILES310,SideEffect39,TargetClass15,Pathway6,1
Depression,Gene35,Fluoxetine,SMILES366,SideEffect30,TargetClass14,Pathway7,1
Alzheimer's disease,Gene18,Carbidopa,SMILES58,SideEffect34,TargetClass16,Pathway8,0
Lung Cancer,Gene50,Erlotinib,SMILES129,SideEffect42,TargetClass7,Pathway10,1
Depression,Gene98,Sertraline,SMILES446,SideEffect45,TargetClass19,Pathway7,1
Depression,Gene67,Fluoxetine,SMILES163,SideEffect35,TargetClass18,Pathway6,1
Alzheimer's disease,Gene32,Memantine,SMILES89,SideEffect10,TargetClass18,Pathway1,1
Lung Cancer,Gene71,Trastuzumab,SMILES37,SideEffect8,TargetClass5,Pathway12,0
Lung Cancer,Gene50,Gefitinib,SMILES259,SideEffect3,TargetClass19,Pathway14,1
Alzheimer's disease,Gene51,Memantine,SMILES47,SideEffect26,TargetClass10,Pathway12,1
Lung Cancer,Gene64,Erlotinib,SMILES325,SideEffect40,TargetClass11,Pathway1,1
Depression,Gene79,Donepezil,SMILES180,SideEffect44,TargetClass3,Pathway10,0
Lung Cancer,Gene65,Erlotinib,SMILES307,SideEffect30,TargetClass7,Pathway7,1
Alzheimer's disease,Gene3,Donepezil,SMILES98,SideEffect3,TargetClass9,Pathway13,1
Type 2 Diabetes,Gene77,Glipizide,SMILES286,SideEffect32,TargetClass4,Pathway3,1
Alzheimer's disease,Gene14,Donepezil,SMILES81,SideEffect32,TargetClass2,Pathway7,1
Lung Cancer,Gene27,Gefitinib,SMILES423,SideEffect9,TargetClass12,Pathway7,1
Lung Cancer,Gene75,Remdesivir,SMILES125,SideEffect33,TargetClass14,Pathway13,0
COVID-19,Gene86,Remdesivir,SMILES447,SideEffect5,TargetClass6,Pathway9,1
Parkinson's disease,Gene21,Levodopa,SMILES278,SideEffect9,TargetClass9,Pathway9,1
Lung Cancer,Gene34,Gefitinib,SMILES208,SideEffect23,TargetClass11,Pathway12,1
Type 2 Diabetes,Gene34,Glipizide,SMILES115,SideEffect41,TargetClass7,Pathway4,1
